legislator,accepted_contributions,position
Aaron M. Kaufman,No,None
Anne Healey,No,Chair
Anne R. Kaiser,No,Vice Chair
April Miller,No,None
Barrie S. Ciliberti,No,None
Barry Beauchamp,No,None
Benjamin F. Kramer,No,None
Bonnie Cullison,No,Vice Chair
Brian Chisholm,No,None
Bryan W. Simonaire,No,None
C. Anthony Muse,No,Vice Chair
"Charles E. Sydnor, III",No,None
Charlotte Crutchfield,No,None
Cheryl E. Pasteur,No,None
Chris Tomlinson,No,None
Chris West,No,None
Christopher Eric Bouchat,No,None
Courtney Watson,No,None
Dalya Attar,No,None
Dana Jones,No,None
Dana Stein,No,None
Darrell Odom,No,None
David Moon,No,Majority Leader
Dawn Gile,No,None
Deni Taveras,No,None
Derrick Coley,No,None
Dylan Behler,No,None
Edith J. Patterson,No,None
Elizabeth Embry,No,None
Emily Shetty,No,None
Eric Ebersole,No,None
"Frank M. Conaway, Jr.",No,None
Gabriel Acevero,No,None
Gabriel M. Moreno,No,None
Gary Simmons,No,None
H. Kevin Anderson,No,None
Harry Bhandari,No,None
Heather Bagnall,No,Chair
Jackie Addison,No,None
Jamila J. Woods,No,None
Jeff Waldstreicher,No,Vice Chair
Jefferson L. Ghrist,No,None
Jennifer White Holland,No,None
Jessica Feldmark,No,Vice Chair
"Jim Hinebaugh, Jr.",No,None
Jim Rosapepe,No,Vice Chair
Joanne C. Benson,No,Majority Whip
Joe Vogel,No,None
Johnny Ray Salling,No,None
Jon S. Cardin,No,None
Joshua J. Stonko,No,None
Julian Ivey,No,None
Julie Palakovich Carr,No,None
Karen Lewis Young,No,None
Karen Simpson,No,None
Karen Toles,No,None
Katie Fry Hester,No,Chair
Kenneth Kerr,No,Vice Chair
Kent Roberson,No,None
Kris Fair,No,None
LaToya Nkongolo,No,None
Lauren Arikan,No,None
Lesley J. Lopez,No,None
Lily Qi,No,None
Lorig Charkoudian,No,Vice Chair
Mark S. Chang,No,None
Mary Washington,No,None
Mary-Dulany James,No,None
Matthew J. Schindler,No,None
Matthew Morgan,No,None
Mike McKay,No,None
N. Scott Phillips,No,None
Nancy J. King,No,Majority Leader
Nick Allen,No,None
Nino Mangione,No,None
Pam Lanman Guzzone,No,None
Pam Queen,No,None
Pamela Beidle,No,Chair
Paul D. Corderman,No,None
Ric Metzgar,No,None
Robbyn Lewis,No,None
Robert B. Long,No,None
"Robin L. Grammer, Jr.",No,None
Ryan Nawrocki,No,None
Sandy J. Bartlett,No,Chair
Sarah Wolek,No,None
Sean A. Stinnett,No,None
Shaneka Henson,No,None
Sheila Ruth,No,None
Sheree Sample-Hughes,No,None
"Stuart Michael Schmidt, Jr.",No,None
Susan K. McComas,No,None
Teresa E. Reilly,No,None
Teresa Woorman,No,None
Terry L. Baker,No,None
Thomas S. Hutchinson,No,None
Tiffany T. Alston,No,None
Veronica Turner,No,None
Wayne A. Hartman,No,None
William G. Folden,No,None
William J. Wivell,No,None
William Valentine,No,None
Adrian Boafo,Yes,None
Adrienne A. Jones,Yes,None
Aletheia McCaskill,Yes,None
Alonzo T. Washington,Yes,None
"Andre V. Johnson, Jr.",Yes,None
Andrea Fletcher Harrison,Yes,None
Andrew C. Pruski,Yes,None
Antonio Hayes,Yes,Vice Chair
April Rose,Yes,None
Arthur Ellis,Yes,Chair
Ashanti Martinez,Yes,Majority Whip
Ben Barnes,Yes,Chair
Benjamin Brooks,Yes,Chair
Bernice Mireku-North,Yes,None
Bill Ferguson,Yes,President of the Senate
Brian J. Feldman,Yes,Chair
Brian M. Crosby,Yes,None
C. T. Wilson,Yes,None
Carl Jackson,Yes,None
Catherine M. Forbes,Yes,None
Caylin Young,Yes,None
Chao Wu,Yes,None
Cheryl C. Kagan,Yes,Vice Chair
Christopher T. Adams,Yes,None
Clarence K. Lam,Yes,None
Cory V. McCray,Yes,None
Craid J. Zucker,Yes,None
David Fraser-Hidalgo,Yes,None
Debra Davis,Yes,Vice Chair
Denise Roberts,Yes,None
Diana M. Fennell,Yes,None
Greg Wims,Yes,None
Guy Guzzone,Yes,Chair
J.B. Jennings,Yes,None
Jack Bailey,Yes,None
Jared Solomon,Yes,None
Jason C. Buckel,Yes,Minority Leader
Jason C. Gallion,Yes,None
Jay A. Jacobs,Yes,None
"Jeffrie E. Long, Jr.",Yes,None
Jen Terrasa,Yes,None
Jesse T. Pippy,Yes,Minority Whip
Jheanelle K. Wilkins,Yes,Chair
Johnny Mautz,Yes,None
Joseline A. Peña-Melnyk,Yes,Speaker of the House
Justin Ready,Yes,Minority Whip
Kathy Szeliga,Yes,None
Kevin B. Hornberger,Yes,None
Kevin M. Harris,Yes,None
Kim Ross,Yes,None
Kriselda Valderrama,Yes,Chair
Kym Taylor,Yes,None
Linda Foley,Yes,None
Luke Clippinger,Yes,Speaker Pro Tem
Malcolm Augustine,Yes,President Pro Tem
Malcolm P. Ruff,Yes,None
Marc Korman,Yes,Chair
Mark Edelson,Yes,None
Mark N. Fisher,Yes,None
Marlon Amprey,Yes,None
"Marvin E. Holmes, Jr.",Yes,None
Mary A. Lehman,Yes,None
Mary Beth Carozza,Yes,None
Melissa Wells,Yes,Chair
Michele Guyton,Yes,Vice Chair
Mike Griffith,Yes,None
Mike Rogers,Yes,None
Natalie Ziegler,Yes,None
Nicholaus R. Kipke,Yes,None
Nick Charles,Yes,None
Nicole A. Williams,Yes,None
Regina T. Boyce,Yes,None
Ron Watson,Yes,None
Ryan Spiegel,Yes,None
Samuel I. Rosenberg,Yes,None
Sara Love,Yes,None
Seth A. Howard,Yes,None
Shelly Hettleman,Yes,None
Stephanie Smith,Yes,None
"Stephen S. Hershey, Jr.",Yes,Minority Leader
Steve Johnson,Yes,None
Steven J. Arentz,Yes,None
Terri L. Hill,Yes,None
Todd B. Morgan,Yes,None
Vaughn Stewart,Yes,None
"William C. Smith, Jr.",Yes,Chair
