"","committee_name","contributions_received"
"1","Democratic Senate Caucus Committee, Maryland",33500
"2","Ferguson, Bill Citizens for",12052.77
"3","House Democratic Caucus Committee, Maryland",11000
"4","Feldman, Brian Citizens For",9500
"5","Pena-Melnyk, Joseline Friends Of",7250
"6","Brown, Anthony Friends Of",6000
"7","Moore, Wes For Maryland",5065.07
"8","Harris, Kevin M. Friends of",5000
"9","Kagan, Cheryl Citizens Helping Elect",4000
"10","Scott, Brandon M. People for",3500
"11","Watson, Ron Friends of",3250
"12","Lierman, Brooke for Maryland",3000
"13","Republican House Caucus Committee",3000
"14","Wilson, C.T. Committee To Elect",3000
"15","Jones, Adrienne Citizens For",2750
"16","Ready, Justin Friends Of",1850
"17","Harrison, Andrea Friends Of",1750
"18","Boyce, Regina T. Friends of",1500
"19","Carozza, Mary Beth Friends of",1500
"20","Fisher, Mark Friends Of",1500
"21","Hershey, Steve Friends of",1500
"22","Long, Jeffrie Friends of",1270
"23","Jackson, Michael A., Friends of",1250
"24","Rogers, Mike Campaign Committee",1250
"25","Washington, Alonzo Friends for",1250
"26","Augustine, Malcolm Friends of",1000
"27","Buckel, (Jason) for Delegate",1000
"28","Crosby, Brian M. Committee to Elect",1000
"29","Guzzone, Guy Friends Of",1000
"30","Howard, Seth Citizens To Elect",1000
"31","Jennings, J. B. Friends Of",1000
"32","Korman, Marc Friends of",1000
"33","Smith, Will for Maryland",1000
"34","Wilkins, Jheanelle Friends of",1000
"35","Williams, Nicole A., Friends of",1000
"36","Bailey, Jack (John) Friends of",750
"37","Brooks, Benjamin Friends of",750
"38","Fraser-Hidalgo, (David) For 15",750
"39","Gallion, Jason Friends of",750
"40","Griffith, Christopher (Mike) Friends of",750
"41","Hornberger, Kevin Friends of",750
"42","Lam, Clarence Friends of",750
"43","Mireku-North, Bernice Friends of",750
"44","Morgan, Todd Friends of",750
"45","Pippy, Jesse Friends of",750
"46","Ross, Kim for Maryland",750
"47","Taylor, Kym Friends for",750
"48","Young, Caylin Friends of",750
"49","Ziegler, Natalie Friends of",750
"50","Holmes, Marvin E. Jr. Friends of",550
"51","(Berzoff-Cohen) Cohen, Zeke Friends of",500
"52","Adams, Christopher Friends of",500
"53","Amprey, Marlon Citizens for",500
"54","Arentz, Steve for Delegate Friends of",500
"55","Atterbeary, Vanessa Committee to Elect",500
"56","Boafo, Adrian Friends of",500
"57","Clippinger, Luke Friends of",500
"58","Davis, Debra Citizens for",500
"59","Ellis, Arthur Elect",500
"60","Fisher, Wanika Friends of",500
"61","Guyton, Michele for Baltimore County",500
"62","Hayes, Antonio Citizens for",500
"63","Jacobs, Jay Friends of",500
"64","Johnson, Andre Elect",500
"65","Mautz, (John) Johnny Friends of",500
"66","McCray, Cory Friends of",500
"67","Motor Truck PAC, Maryland",500
"68","Pruski, Andrew Friends of",500
"69","Rose, April Friends of",500
"70","Smith, Pete Friends of",500
"71","Smith, Stephanie Friends of",500
"72","Stewart, Vaughn Friends of",500
"73","Terrasa, Jennifer Friends Of",500
"74","Valderrama-Lobo, Kris Citizens for",500
"75","Zucker, Craig Friends Of",500
"76","Foley, Linda Friends of",450
"77","Barnes, Ben Friends Of",250
"78","Braveboy, Aisha Friends Of",250
"79","Charles, Nicholas Friends for",250
"80","Edelson, Mark Friends of",250
"81","Fennell, Diana M. Friends of",250
"82","Forbes, Catherine (Cathi) Friends of",250
"83","Guzzone, Pamela (Pam) Lanman People for",250
"84","Hettleman, Shelly Friends of",250
"85","Hill, Terri Friends of",250
"86","Jackson, Carl Citizens for",250
"87","Johnson, Steve Friends of",250
"88","Kipke, Nic Friends of",250
"89","Lehman, Mary Citizens For",250
"90","Lewis, Jazz Friends of",250
"91","Love, Sara Friends of",250
"92","Martinez, Ashanti  Friends of",250
"93","McCaskill, (Aletheia) 4MD",250
"94","Roberts, Denise Friends of",250
"95","Rosenberg, Sandy Citizens For",250
"96","Ruff, Malcolm P. Committee for",250
"97","Spiegel, Ryan Friends Of",250
"98","Szeliga, Kathy Friends Of",250
"99","Torrence, James Friends of",250
"100","Wells, Melissa Friends of",250
"101","Wims, Greg Friends of",250
"102","Wu, Chao Friends to Elect",250
"103","Solomon, Jared Friends of",125
"104","Vincenti, Patrick Friends for",100
"105","Building Industry, Political Action Committee Maryland",50
"106","Building Industry PAC, Anne Arundel County, Maryland",44.44
"107","Building Industry Baltimore County. PAC Maryland",22.22
"108","Building Industry Cecil County, PAC Maryland",22.22
"109","Building Industry Howard Co., PAC Maryland",22.22
"110","Building Industry PAC Baltimore City, Maryland",22.22
"111","Home Builders Political Affairs Com.,Carroll Co. PAC",22.22
"112","Home Builders Political Affairs Com.,Harford Co. PAC",22.22
"113","Montgomery Builders PAC of Maryland Building Industry Association",22.22
"114","Southern Maryland Builders PAC of Maryland Building Industry Association",22.22
